title,country,date,points,link,img
Snowpiercer,world,2021-03-11,471,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
Behind Her Eyes,world,2021-03-11,434,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
The Bold Type,world,2021-03-11,257,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
100 Dias Para Enamorarnos,world,2021-03-11,120,https://flixpatrol.com/title/100-dias-para-enamorarnos/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/r13t1ohrqalzpsjxgtky7ypkwpc.jpg
Vincenzo,world,2021-03-11,114,https://flixpatrol.com/title/vincenzo/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dvxjgedqxhl9ouot2wkbhpqihgd.jpg
Yo soy Betty la fea,world,2021-03-11,98,https://flixpatrol.com/title/yo-soy-betty-la-fea/,https://flixpatrol.com/runtime/cache/files/posters/i/w72/ieboixidgaxvr6w8akgg5meusuo.jpg
Pasión de gavilanes,world,2021-03-11,90,https://flixpatrol.com/title/pasion-de-gavilanes/,https://flixpatrol.com/runtime/cache/files/posters/x/w72/xwvfbthfbtjiinxs8myyei2dd78.jpg
Sisyphus: The Myth,world,2021-03-11,88,https://flixpatrol.com/title/sisyphus-the-myth/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qk5ilup3a7hz5mduikrn9d2ynv2.jpg
Ginny & Georgia,world,2021-03-12,656,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-12,517,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
Behind Her Eyes,world,2021-03-12,412,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Riverdale,world,2021-03-12,356,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
Snowpiercer,world,2021-03-12,330,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
The Bold Type,world,2021-03-12,237,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
Sisyphus: The Myth,world,2021-03-12,116,https://flixpatrol.com/title/sisyphus-the-myth/,https://flixpatrol.com/runtime/cache/files/posters/q/w72/qk5ilup3a7hz5mduikrn9d2ynv2.jpg
100 Dias Para Enamorarnos,world,2021-03-12,114,https://flixpatrol.com/title/100-dias-para-enamorarnos/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/r13t1ohrqalzpsjxgtky7ypkwpc.jpg
Yo soy Betty la fea,world,2021-03-12,101,https://flixpatrol.com/title/yo-soy-betty-la-fea/,https://flixpatrol.com/runtime/cache/files/posters/i/w72/ieboixidgaxvr6w8akgg5meusuo.jpg
Pasión de gavilanes,world,2021-03-12,95,https://flixpatrol.com/title/pasion-de-gavilanes/,https://flixpatrol.com/runtime/cache/files/posters/x/w72/xwvfbthfbtjiinxs8myyei2dd78.jpg
Ginny & Georgia,world,2021-03-13,645,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-13,510,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
Behind Her Eyes,world,2021-03-13,361,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Love Alarm,world,2021-03-13,337,https://flixpatrol.com/title/love-alarm/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/s87jyawtrlllmsywxted1l8henb.jpg
The One,world,2021-03-13,311,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
Riverdale,world,2021-03-13,301,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
The Bold Type,world,2021-03-13,215,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
Snowpiercer,world,2021-03-13,184,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
