title,country,points,countries,days,link
The Queen's Gambit,world,44906,80,69,https://flixpatrol.com/title/the-queens-gambit/
Emily in Paris,world,27164,80,87,https://flixpatrol.com/title/emily-in-paris/
Lucifer,world,25973,78,279,https://flixpatrol.com/title/lucifer/
The Umbrella Academy,world,23476,78,175,https://flixpatrol.com/title/the-umbrella-academy/
Money Heist,world,22691,71,287,https://flixpatrol.com/title/money-heist/
Dark Desire,world,21018,73,147,https://flixpatrol.com/title/dark-desire/
The Crown,world,20946,78,64,https://flixpatrol.com/title/the-crown/
Friends,world,18059,42,282,https://flixpatrol.com/title/friends/
Yo soy Betty la fea,world,16483,15,282,https://flixpatrol.com/title/yo-soy-betty-la-fea/
Ratched,world,15771,78,50,https://flixpatrol.com/title/ratched/
"Pablo Escobar, The Drug Lord",world,15137,15,282,https://flixpatrol.com/title/pablo-escobar-the-drug-lord/
Dark,world,14961,72,160,https://flixpatrol.com/title/dark-2017/
The Last Dance,world,14328,51,123,https://flixpatrol.com/title/the-last-dance/
Snowpiercer,world,13859,66,78,https://flixpatrol.com/title/snowpiercer-2020/
100 Dias Para Enamorarnos,world,13141,20,105,https://flixpatrol.com/title/100-dias-para-enamorarnos/
The Haunting of Bly Manor,world,13007,78,51,https://flixpatrol.com/title/the-haunting-of-bly-manor/
Cursed,world,12790,73,58,https://flixpatrol.com/title/cursed-2020/
Cobra Kai,world,12269,77,51,https://flixpatrol.com/title/cobra-kai/
It's Okay to Not Be Okay,world,11758,43,146,https://flixpatrol.com/title/its-okay-to-not-be-okay/
Paw Patrol,world,11018,57,126,https://flixpatrol.com/title/paw-patrol/
Locked Up,world,10755,53,165,https://flixpatrol.com/title/locked-up/
Modern Family,world,10707,49,238,https://flixpatrol.com/title/modern-family/
Star Trek: Discovery,world,10581,64,81,https://flixpatrol.com/title/star-trek-discovery/
Warrior Nun,world,10536,72,44,https://flixpatrol.com/title/warrior-nun/
Too Hot to Handle,world,10389,51,56,https://flixpatrol.com/title/too-hot-to-handle/
Away,world,10288,72,41,https://flixpatrol.com/title/away-2020/
Barbaren,world,10174,79,34,https://flixpatrol.com/title/barbaren/
Virgin River,world,10080,75,34,https://flixpatrol.com/title/virgin-river/
Unsolved Mysteries,world,9711,73,56,https://flixpatrol.com/title/unsolved-mysteries-2020/
Tiny Pretty Things,world,9379,75,17,https://flixpatrol.com/title/tiny-pretty-things/
CoComelon,world,9034,32,126,https://flixpatrol.com/title/cocomelon/
Start-Up,world,8404,35,75,https://flixpatrol.com/title/start-up-2020/
13 Reasons Why,world,8265,59,41,https://flixpatrol.com/title/13-reasons-why/
Rick and Morty,world,7444,59,142,https://flixpatrol.com/title/rick-and-morty/
Jurassic World: Camp Cretaceous,world,7228,77,31,https://flixpatrol.com/title/jurassic-world-camp-cretaceous/
The King: Eternal Monarch,world,7109,28,124,https://flixpatrol.com/title/the-king-eternal-monarch/
White Lines,world,7044,46,65,https://flixpatrol.com/title/white-lines/
The 100,world,7008,41,235,https://flixpatrol.com/title/the-100/
The Boss Baby: Back in Business,world,6726,76,208,https://flixpatrol.com/title/the-boss-baby-back-in-business/
Her Mother's Killer,world,6683,19,100,https://flixpatrol.com/title/her-mothers-killer/
Dynasty,world,6546,51,83,https://flixpatrol.com/title/dynasty-2017/
Riverdale,world,6506,55,174,https://flixpatrol.com/title/riverdale/
Space Force,world,6430,54,37,https://flixpatrol.com/title/space-force/
The Order,world,6323,68,30,https://flixpatrol.com/title/the-order-2019/
"Tiger King: Murder, Mayhem and Madness",world,6299,33,62,https://flixpatrol.com/title/tiger-king-murder-mayhem-and-madness/
Good Girls,world,6171,61,38,https://flixpatrol.com/title/good-girls/
Ozark,world,6046,40,139,https://flixpatrol.com/title/ozark/
Record of Youth,world,5966,26,79,https://flixpatrol.com/title/record-of-youth/
Amar y Vivir,world,5947,18,100,https://flixpatrol.com/title/amar-y-vivir/
Pasión de gavilanes,world,5772,12,170,https://flixpatrol.com/title/pasion-de-gavilanes/
Floor is Lava,world,5721,64,28,https://flixpatrol.com/title/floor-is-lava/
To the Lake,world,5505,72,85,https://flixpatrol.com/title/to-the-lake/
The Mess You Leave Behind,world,5485,66,20,https://flixpatrol.com/title/the-mess-you-leave-behind/
Never Have I Ever,world,5452,50,64,https://flixpatrol.com/title/never-have-i-ever/
The Blacklist,world,5410,56,268,https://flixpatrol.com/title/the-blacklist/
Outer Banks,world,5321,39,72,https://flixpatrol.com/title/outer-banks/
Jeffrey Epstein: Filthy Rich,world,5119,48,57,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich/
The Seven Deadly Sins,world,5083,61,70,https://flixpatrol.com/title/the-seven-deadly-sins/
Crash Landing on You,world,4708,10,281,https://flixpatrol.com/title/crash-landing-on-you/
Prison Break,world,4626,27,238,https://flixpatrol.com/title/prison-break/
Bridgerton,world,4486,79,6,https://flixpatrol.com/title/bridgerton/
Unorthodox,world,4283,38,44,https://flixpatrol.com/title/unorthodox/
How to Get Away with Murder,world,4168,55,154,https://flixpatrol.com/title/how-to-get-away-with-murder/
Toy Boy,world,4158,29,52,https://flixpatrol.com/title/toy-boy-2019/
Demon Slayer: Kimetsu no Yaiba,world,4144,7,281,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba/
The Sinner,world,4139,43,63,https://flixpatrol.com/title/the-sinner/
Resurrection: Ertugrul,world,4049,10,191,https://flixpatrol.com/title/resurrection-ertugrul/
Dash & Lily,world,4037,77,19,https://flixpatrol.com/title/dash-lily/
Enemigo íntimo,world,3928,16,92,https://flixpatrol.com/title/enemigo-intimo/
Hospital Playlist,world,3846,9,214,https://flixpatrol.com/title/hospital-playlist/
Down to Earth with Zac Efron,world,3789,52,28,https://flixpatrol.com/title/down-to-earth-with-zac-efron/
Was It Love,world,3746,9,85,https://flixpatrol.com/title/was-it-love/
Sweet Home,world,3716,76,13,https://flixpatrol.com/title/sweet-home-2020/
Elite,world,3715,32,68,https://flixpatrol.com/title/elite/
Selena: The Series,world,3646,22,27,https://flixpatrol.com/title/selena-the-series/
World's Most Wanted,world,3564,60,17,https://flixpatrol.com/title/worlds-most-wanted/
Dead to Me,world,3513,34,35,https://flixpatrol.com/title/dead-to-me/
The Witcher,world,3498,20,290,https://flixpatrol.com/title/the-witcher/
Queen of the South,world,3437,37,150,https://flixpatrol.com/title/queen-of-the-south/
Blood of Zeus,world,3382,77,21,https://flixpatrol.com/title/blood-of-zeus/
Alice in Borderland,world,3239,54,21,https://flixpatrol.com/title/alice-in-borderland/
La Révolution,world,3165,75,27,https://flixpatrol.com/title/la-revolution/
Big Mouth,world,3145,54,27,https://flixpatrol.com/title/big-mouth/
Stolen Away,world,3065,31,75,https://flixpatrol.com/title/stolen-away/
Hoops,world,2888,45,25,https://flixpatrol.com/title/hoops/
The Rain,world,2883,58,28,https://flixpatrol.com/title/the-rain-2018/
El Dragón: Return of a Warrior,world,2847,26,123,https://flixpatrol.com/title/el-dragon-return-of-a-warrior/
How to Sell Drugs Online (Fast),world,2846,47,33,https://flixpatrol.com/title/how-to-sell-drugs-online-fast/
Freud,world,2842,30,32,https://flixpatrol.com/title/freud/
Mystic Pop-Up Bar,world,2785,9,83,https://flixpatrol.com/title/mystic-pop-up-bar/
Family Guy,world,2737,29,160,https://flixpatrol.com/title/family-guy/
The Business of Drugs,world,2698,46,23,https://flixpatrol.com/title/the-business-of-drugs/
Young Wallander,world,2689,42,36,https://flixpatrol.com/title/young-wallander/
Trinkets,world,2684,67,19,https://flixpatrol.com/title/trinkets/
