title,country,points,countries,days,link
Red Notice,world,25918,90,48,https://flixpatrol.com/title/red-notice/
We Can Be Heroes,world,25311,82,214,https://flixpatrol.com/title/we-can-be-heroes-2020/
Army of the Dead,world,18888,89,92,https://flixpatrol.com/title/army-of-the-dead/
Wish Dragon,world,16953,82,88,https://flixpatrol.com/title/wish-dragon/
Army of Thieves,world,15081,90,52,https://flixpatrol.com/title/army-of-thieves/
The Mitchells vs. The Machines,world,14902,82,74,https://flixpatrol.com/title/the-mitchells-vs-the-machines/
Fatherhood,world,14660,82,54,https://flixpatrol.com/title/fatherhood/
The Unforgivable,world,13458,89,20,https://flixpatrol.com/title/the-unforgivable/
The Guilty,world,12930,83,43,https://flixpatrol.com/title/the-guilty-2021/
Yes Day,world,12809,81,66,https://flixpatrol.com/title/yes-day/
Love Hard,world,11782,90,50,https://flixpatrol.com/title/love-hard/
Outside the Wire,world,11661,82,45,https://flixpatrol.com/title/outside-the-wire/
Love and Monsters,world,11582,81,33,https://flixpatrol.com/title/love-and-monsters/
Kate,world,11224,83,50,https://flixpatrol.com/title/kate/
Vivo,world,11037,79,58,https://flixpatrol.com/title/vivo/
Minions,world,10972,78,132,https://flixpatrol.com/title/minions/
Back to the Outback,world,10555,88,20,https://flixpatrol.com/title/back-to-the-outback/
He's All That,world,10222,83,35,https://flixpatrol.com/title/hes-all-that/
Sweet Girl,world,10051,82,32,https://flixpatrol.com/title/sweet-girl/
Blood Red Sky,world,9757,82,31,https://flixpatrol.com/title/blood-red-sky/
Major Grom: Plague Doctor,world,9642,80,98,https://flixpatrol.com/title/major-grom-plague-doctor/
My Little Pony: A New Generation,world,9615,81,41,https://flixpatrol.com/title/my-little-pony-a-new-generation/
The Forgotten Battle,world,9321,83,24,https://flixpatrol.com/title/the-forgotten-battle/
The Kissing Booth 3,world,9219,82,28,https://flixpatrol.com/title/the-kissing-booth-3/
To All the Boys: Always and Forever,world,9058,83,24,https://flixpatrol.com/title/to-all-the-boys-always-and-forever/
Fast & Furious Presents: Hobbs & Shaw,world,8994,73,257,https://flixpatrol.com/title/fast-furious-presents-hobbs-shaw/
Thunder Force,world,8842,82,35,https://flixpatrol.com/title/thunder-force/
I Care a Lot,world,8610,54,41,https://flixpatrol.com/title/i-care-a-lot/
The Woman in the Window,world,8547,82,33,https://flixpatrol.com/title/the-woman-in-the-window/
365 Days,world,8488,60,313,https://flixpatrol.com/title/365-days/
The Harder They Fall,world,8433,89,28,https://flixpatrol.com/title/the-harder-they-fall/
Afterlife of the Party,world,8172,80,27,https://flixpatrol.com/title/afterlife-of-the-party/
The Secret Life of Pets 2,world,8161,54,322,https://flixpatrol.com/title/the-secret-life-of-pets-2/
The Last Mercenary,world,8132,82,26,https://flixpatrol.com/title/the-last-mercenary/
A Boy Called Christmas,world,8084,75,36,https://flixpatrol.com/title/a-boy-called-christmas/
Finding 'Ohana,world,7939,81,49,https://flixpatrol.com/title/finding-ohana/
Night Teeth,world,7824,88,22,https://flixpatrol.com/title/night-teeth/
Fifty Shades of Grey,world,7760,75,113,https://flixpatrol.com/title/fifty-shades-of-grey/
Resort to Love,world,7711,79,33,https://flixpatrol.com/title/resort-to-love/
News of the World,world,7600,80,29,https://flixpatrol.com/title/news-of-the-world/
Gemini Man,world,7497,53,211,https://flixpatrol.com/title/gemini-man/
Things Heard & Seen,world,7396,82,29,https://flixpatrol.com/title/things-heard-seen/
Spider-Man: Homecoming,world,7338,75,130,https://flixpatrol.com/title/spider-man-homecoming/
Awake,world,7217,81,24,https://flixpatrol.com/title/awake-2021/
Venom,world,6928,44,183,https://flixpatrol.com/title/venom-2018/
Deadly Illusions,world,6900,82,18,https://flixpatrol.com/title/deadly-illusions/
Below Zero,world,6828,82,31,https://flixpatrol.com/title/below-zero/
The White Tiger,world,6755,80,73,https://flixpatrol.com/title/the-white-tiger/
SAS: Red Notice,world,6709,64,32,https://flixpatrol.com/title/sas-red-notice/
Fear Street: 1994,world,6653,80,31,https://flixpatrol.com/title/fear-street-1994/
Spoiled Brats,world,6447,72,22,https://flixpatrol.com/title/spoiled-brats/
Bruised,world,6325,86,28,https://flixpatrol.com/title/bruised/
Sentinelle,world,6230,83,21,https://flixpatrol.com/title/sentinelle-2021/
Hotel Transylvania 3: Summer Vacation,world,6219,51,188,https://flixpatrol.com/title/hotel-transylvania-3-summer-vacation/
The Dig,world,6172,82,25,https://flixpatrol.com/title/the-dig/
Moxie,world,6062,81,24,https://flixpatrol.com/title/moxie/
Intrusion,world,6045,83,17,https://flixpatrol.com/title/intrusion/
